part,Name_ZH,Name_EN,Desc_L1_ZH,Desc_L1_EN,Desc_L2_ZH,Desc_L2_EN,Desc_L3_ZH,Desc_L3_EN
part_firmware_action_fist,动能拳头,Action Fist,近战伤害提升+25%,Melee Damage is increased by +25%,主动技能伤害提升+30%,Action Skill Damage is increased by +30%,近战击杀后，主动技能伤害提升+30%，持续8秒,"On Melee kill, Action Skill Damage is increased by +30% for 8s"
part_firmware_active_fire,主动开火,Active Fire,武器伤害提升+10%,Weapon Damage increased by +10%,武器充能速率提升-20%,Weapon Charge Rate increased by -20%,达到完全充能状态后的0.5秒内发射充能武器，造成的伤害将提升+50%,"Firing a Charged Weapon within 0.5 seconds of reaching Full Charge, increases the Damage Dealt by +50%"
part_firmware_airstrike,空袭,Airstrike,溅射半径增加+20%,Splash Radius is increased by +20%,溅射伤害提升+20%,Splash Damage is increased by +20%,击杀时对附近敌人进行导弹袭击。,"On kill, drop a Missile Strike on nearby enemies"
part_firmware_atlas_ex,阿特拉斯E.X.,Atlas E.X.,枪械模式切换速度提升-33%,Gun Mode Switch Speed is increased by -33%,启动阿特拉斯目标锁定时，枪械伤害提升+25%,Gun Damage is increased by +25% while an Atlas Target Lock is active,当击杀被阿特拉斯目标锁定的敌人时，会自动目标锁定附近另一名敌人,"When killing an Atlas Target Locked enemy, automatically Target Lock another nearby enemy"
part_firmware_atlas_infinum,阿特拉斯无限量,Atlas Infinum,启动阿特拉斯目标锁定时，枪械射速提升+12%,Gun Fire Rate is increased by +12% while an Atlas Target Lock is active,配备阿特拉斯授权部件的枪械获得+15%伤害,Guns with Atlas-licensed parts gain +15% Damage,阿特拉斯目标锁定可无限次使用，切换枪械后失效。,"Atlas Target Locks are infinite, unless you swap Guns"
part_firmware_baker,烘焙师,Baker,护盾容量增加+10%,Shield Capacity is increased by +10%,修复套件冷却时间减少-15%,Repkit Cooldown Duration is reduced by -15%,最大生命值提升+25%,Maximum Health is increased by +25%
part_firmware_bruiser,重击者,Bruiser,受到的伤害减少+10%,Damage Taken reduced by +10%,吸血提升+2%,Lifesteal increased by +2%,击杀敌人造成的伤害提升+10%，持续30秒。多层效果可叠加。最多叠加5层。,Killing an enemy grants +10% Damage Dealt for 30 seconds. Multiple stacks can overlap. Max 5 stacks.
part_firmware_bullets_to_spare,备用子弹,Bullets To Spare,枪械射速提升+5%,Gun Fire Rate is increased by +5%,枪械弹匣容量增加+20%,Gun Magazine Size is increased by +20%,枪械射速提升量为枪械弹匣容量的+50%,Gun Fire Rate is increased by +50% of Gun Magazine Size
part_firmware_daeddy_o,大情圣,Daed-dy O',枪械模式切换速度提升-25%,Gun Mode Switch Speed is increased by -25%,枪械弹匣容量增加+20%,Gun Magazine Size is increased by +20%,切换模式时获得+35%伤害和+35%射速，持续5秒。,"On Mode Switch, grants +35% Damage and +35% Fire Rate for 5s"
part_firmware_deadeye,神枪手,Deadeye,枪械精准度提升-30%,Gun Accuracy is increased by -30%,枪械暴击伤害提升+25%,Gun Critical Damage is increased by +25%,每次暴击时，每有一层叠加都将获得+15%暴击伤害（最多叠加5层），持续10秒,Every Critical Hit grants +15% Critical Damage per Stack (for a Maximum 5 Stacks) for 10s
part_firmware_gadget_ahoy,装置启动,Gadget Ahoy,炮械冷却时间减少-15%,Ordnance Cooldown Duration is reduced by -15%,炮械伤害提升+20%,Ordnance Damage is increased by +20%,用炮械击杀获得+20%伤害，持续15秒,Ordnance kills grant +20% Damage for 15s
part_firmware_get_throwin,发球入场,Get Throwin',手雷伤害提升+35%,Grenade Damage is increased by +35%,溅射半径增加+20%,Splash Radius is increased by +20%,手雷和泰迪尔投掷枪械有+50%几率生成追踪导弹，自动攻击附近敌人,Grenades and Tediore Thrown Guns have a +50% Chance to spawn homing Missiles that home in on nearby enemies
part_firmware_god_killer,弑神者,God Killer,对恶棍敌人造成的伤害提升+10%,Damage Dealt to Badass Enemies is increased by +10%,受到恶棍敌人造成的伤害减少-10%,Damage Taken from Badass Enemies is reduced by -10%,击杀恶棍敌人时，造成的伤害提升+20%，持续60秒,"On killing a Badass Enemy, Damage Dealt is increased by +20% for 60s"
part_firmware_goojfc,保命王牌,Goojfc,主动技能冷却速率提升+10%,Action Skill Cooldown Rate is increased by +10%,主动技能伤害提升+15%,Action Skill Damage is increased by +15%,主动技能冷却速率额外提升+20%,Action Skill Cooldown Rate is increased by an additional +20%
part_firmware_heating_up,加热升温,Heating Up,枪械装填速度提升-20%,Gun Reload Speed is increased by -20%,秘藏之子授权枪械部件在损坏前可发射的过热子弹数量提升+50%,Amount of Overheated shots before breaking is increased by +50% with CoV-Licensed Gun Parts,秘藏之子授权枪械部件过热时，枪械伤害提升+25%,Gun Damage is increased by +25% while Overheating with CoV-Licensed Gun Parts
part_firmware_high_caliber,大口径,High Caliber,射弹速度提升+25%,Projectile Speed is increased by +25%,枪械伤害提升+10%,Gun Damage is increased by +10%,子弹会穿透敌人,Bullets Pierce enemies
part_firmware_jacked,杰克式改造,Jacked,瞄准放大速度提升-35%,Zoom In Speed is increased by -35%,亥伯龙枪械护盾容量增加+50%,Hyperion Gun Shield Capacity is increased by +50%,亥伯龙枪械护盾有+40%几率将射弹跳弹回敌人,Hyperion Gun Shields have a +40% Chance to Ricochet Projectiles back to the enemy
part_firmware_lifeblood,命脉,Lifeblood,修复套件治疗效果提升+10%,Repkit Healing is increased by +10%,吸血提升+5%,Lifesteal is increased by +5%,击杀后恢复+10%的最大生命值。,"On kill, regenerates +10% of Maximum Health"
part_firmware_oscar_mike,正在行动,Oscar Mike,枪械装填速度提升-10%,Gun Reload Speed is increased by -10%,根据枪械弹匣的空余量，枪械伤害最高提升+20%,Gun Damage is increased by up to +20% based on the emptiness of your Gun's Magazine,装填后，枪械射速提升+30%，持续4秒,"After Reloading, Gun Fire Rate is increased by +30% for 4s"
part_firmware_reel_big_fist,沙包大拳头,Reel Big Fist,近战伤害提升+25%,Melee Damage is increased by +25%,近战伤害额外提升+25%,Melee Damage is increased by an additional +25%,近战击杀会触发星爆，造成+200%近战伤害,Melee kills trigger a Nova explosion for +200% Melee Damage
part_firmware_risky_boots,风险启用,Risky Boots,当生命值低于35%时，受到的伤害减少-30%,"When Health is less than 35%, Damage Taken is reduced by -30%",当生命值低于35%时，移动速度提升+35%,"When Health is less than 35%, Movement Speed is increased by +35%",当生命值低于35%时，造成的伤害提升+5%，吸血提升+5%,"When Health is less than 35%, Damage Dealt is increased by +5% and Lifesteal is increased by +5%"
part_firmware_rubberband_man,橡皮筋人,Rubberband Man,伤害减免提升-10%,Damage Reduction is increased by -10%,吸血提升+10%,Lifesteal is increased by +10%,该固件提供的加成加倍。,Bonuses granted by this Firmware are doubled
part_firmware_skillcraft,技能工艺,Skillcraft,技能伤害提升+15%,Skill Damage increased by +15%,技能暴击率提升+10%,Skill Critical Chance increased by +10%,造成技能伤害时技能伤害将提升+2%，持续10秒。最多可叠加25层。,Dealing Skill Damage increases Skill Damage by +2% for 10 seconds. Stacks up to 25 times.
part_firmware_trickshot,花式射击,Trickshot,枪械装填速度提升-5%,Gun Reload Speed is increased by -5%,枪械暴击伤害提升+10%,Gun Critical Damage is increased by +10%,暴击有+50%几率向当前装备的枪械弹匣补充1弹药,Critical Hits have a +50% Chance to refill 1 Ammo to the currently-equipped Gun's Magazine
