manufacturers_ID,manufacturers_name,perk_ID,perk_name_EN,perk_name_ZH
284,Atlas,1,Sure Shot -Projectiles from Guns with Atlas -licensed parts automatically attach a Tracker Dart every 25s,精确射击 -配备阿特拉斯授权部件的枪械在发射子弹时，每25秒会自动附加追踪飞镖
284,Atlas,2,Trauma Bond-Guns with Atlas-licensed parts gain +30% Damage while Target Lock is active,创伤纽带 -配备阿特拉斯授权部件的枪械在启用目标锁定时，获得+30%伤害
284,Atlas,3,Tracker Antenna-Guns with Atlas-licensed parts gain +40% Fire Rate while Target Lock is active,追踪器天线 -配备阿特拉斯授权部件的枪械在启用目标锁定时，获得+40%射速
284,Atlas,9,Protractor - Guns with Atlas-licensed parts have a +50% Chance to not consume Ammo while Target Lock is active,量角器 -配备阿特拉斯授权部件的枪械在启用目标锁定时，有+50%几率不消耗弹药
286,COV,1,Ventilator -Guns with CoV-licensed Magazines have a 25% Chance to cost 0 Heat when fired,通风机 -配备秘藏之子授权弹匣的枪械在射击时有25%几率不增加热度
286,COV,2,Duct Tape -Guns with CoV-licensed Magazines have a 100% Chance to deal Critical Damage while Overheating,胶带 -配备秘藏之子授权弹匣的枪械在过热时有100%几率造成暴击伤害
286,COV,3,Cold Open -Guns with CoV-licensed Magazines gain +20% Damage when below 50% Heat,冷开场 -配备秘藏之子授权弹匣的枪械在低于50%热度时获得+20%伤害
286,COV,9,Smelter -Guns with CoV-licensed Magazines have +35% Fire Rate when over 50% Heat,熔炼炉 -配备秘藏之子授权弹匣的枪械在超过50%热度时拥有+35%射速
299,Daedalus,1,Accelerator - Guns with Daedalus-licensed parts gain +1% Fire Rate per each bullet fired for up to a Maximum 50 Stacks which reset on Reload,加速器 -配备代达洛斯授权部件的枪械每发射一颗子弹，都会获得+1%射速，最多叠加50层，装填时重置
299,Daedalus,2,Bullet Fabricator - On kill Guns with Daedalus-licensed parts have a 40% Chance to refill your Magazines,弹药制作器 -配备代达洛斯授权部件的枪械在击杀时，有40%几率补充弹匣弹药
299,Daedalus,3,Stockpiler - On Reload Guns with Daedalus -licensed parts gain up to +25% Damage based on the amount of spare Ammo for the currently-equipped Gun,诸备器 -配备代达洛斯授权部件的枪械在装填时，会根据当前装备枪械的备用弹药储备量，获得最多+25%伤害提升
299,Daedalus,9,Backup Plan - Guns with Daedalus-licensed parts slowly regenerate reserve Ammo while equipped,备用计划 -配备代达洛斯授权部件的枪械在装备时会缓慢恢复储备弹药
264,Hyperion,1,Bulwark -Guns with Hyperion-licensed parts gain +100% Gun Shield Capacity,壁垒 -配备亥伯龙授权部件的枪械获得+100%枪械护盾容量
264,Hyperion,2,Stabilizer -Guns with Hyperion-licensed parts gain +40% Accuracy,稳压器 -配备亥伯龙授权部件的枪械获得+40%精准度
264,Hyperion,3,Stim Converter - Guns with Hyperion-licensed parts regenerate up to 10% Health when the Gun Shield is hit,兴奋剂转换器 -配备亥伯龙授权部件的枪械在枪械护盾被击中时会恢复最多10%生命值
