Manufacturer ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
263,1,Perk,,,,
263,2,Perk,,,,
263,3,Perk,马里旺,Maliwan,手雷会粘在敌人身上，如掉落地面，则会自动飞向最近的来袭敌人,"Grenades stick to enemies; if they hit the ground, they automatically fly towards the nearest incoming enemy"
263,4,Rarity,Common,Common,,
263,5,Rarity,Uncommon,Uncommon,,
263,6,Rarity,Rare,Rare,,
263,7,Rarity,Epic,Epic,,
263,8,Rarity,Legendary,Legendary,金皮肤,Gold skin
263,9,Rarity,Legendary,Legendary,毁灭迪斯科皮肤,Destructive Disco skin
263,10,Legendary Perk,,,,
263,11,Rarity,Legendary,Legendary,递归皮肤,Recursive skin
263,12,Legendary Perk,,,,
263,13,Perk,,,,
267,1,Perk,雅各布斯,Jakobs,手雷击中弱点时会造成暴击伤害,Grenades deal critical damage when hitting weak points
267,2,Perk,,,,
267,3,Perk,,,,
267,4,Rarity,Common,Common,,
267,5,Rarity,Uncommon,Uncommon,,
267,6,Rarity,Rare,Rare,,
267,7,Rarity,Epic,Epic,,
267,8,Rarity,Legendary,Legendary,金皮肤,Gold skin
267,9,Legendary Perk,,,,
267,10,Rarity,Legendary,Legendary,旋转刀刃皮肤,Spinning Blade skin
267,11,Legendary Perk,,,,
267,12,Rarity,Legendary,Legendary,翔苦无皮肤,Sho Kunai skin
267,13,Perk,,,,
267,14,Legendary Perk,,,,
267,15,Legendary Perk,,,,
267,16,Legendary Perk,,,,
267,17,Legendary Perk,,,,
267,18,Legendary Perk,,,,
267,19,Perk,雅各布斯,Jakobs,手雷击中弱点时会造成暴击伤害（铋尖匕首）,Grenades deal critical damage when hitting weak points(Bismuth)
267,20,Rarity,Legendary,Legendary,铋尖匕首皮肤,Bismuth skin
270,1,Rarity,Common,Common,,
270,2,Rarity,Uncommon,Uncommon,,
270,3,Rarity,Rare,Rare,,
270,4,Rarity,Epic,Epic,,
270,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
270,6,Legendary Perk,,,,
270,7,Rarity,Legendary,Legendary,震颤斧皮肤,Buzz Axe skin
270,8,Legendary Perk,,,,
270,9,Rarity,Legendary,Legendary,导火索皮肤,Fuse skin
270,10,Perk,代达洛斯,Daedalus,手雷在手持时会开始计时，并在固定时间后爆炸,Grenade timer starts when held and explodes after a fixed time
270,11,Legendary Perk,,,,
270,12,Rarity,Legendary,Legendary,高压锅皮肤,Pressure Kettle Skin
272,1,Perk,教团,Order,手雷会自动追踪附近敌人,Grenades automatically track nearby enemies
272,2,Rarity,Common,Common,,
272,3,Rarity,Uncommon,Uncommon,,
272,4,Rarity,Rare,Rare,,
272,5,Rarity,Epic,Epic,,
272,6,Rarity,Legendary,Legendary,金皮肤,Gold skin
272,7,Legendary Perk,,,,
