Heavy_perk_main_ID,Part_ID,Part_type,Stat,Description
244,1,Firmware,God Killer,
244,2,Firmware,Reel Big Fist,
244,3,Firmware,Lifeblood,
244,4,Firmware,Airstrike,
244,5,Firmware,High Caliber,
244,6,Firmware,Gadget Ahoy,
244,7,Firmware,Baker,
244,8,Firmware,Oscar Mike,
244,9,Firmware,Rubberband Man,
244,10,Firmware,Deadeye,
244,11,Firmware,Action Fist,
244,12,Firmware,GooJFC,
244,13,Firmware,Atlas E.X.,
244,14,Firmware,Atlas Infinum,
244,15,Firmware,Trickshot,
244,16,Firmware,Jacked,
244,17,Firmware,Get Throwin',
244,18,Firmware,Heating Up,
244,19,Firmware,Bullets to Spare,
244,20,Firmware,Daed-dy O',
244,26,Firmware,Risky Boots,
244,27,Firmware,Skillcraft,
1,10,Element,Corrosive,
1,11,Element,Cryo,
1,12,Element,Fire,
1,13,Element,Radiation,
1,14,Element,Shock,
