Manufacturer ID,Part_ID,Part_type,String,Stat_ZH,Stat_EN
282,2,Barrel,Barrel_02_Splatoon,,
282,6,Body,Body,/,
282,7,Body Accessory,Body_A,+弹容,Mad
282,8,Body Accessory,Body_B,+射速,Wide
282,9,Body Accessory,Body_C,-冷却时间,Thorough
282,10,Body Accessory,Body_D,无效果,Tinged
282,12,Barrel,Barrel_02,机炮,Cannon Barrel
282,13,Barrel Accessory,Barrel_01_A,,
282,14,Barrel Accessory,Barrel_01_B,,
282,15,Barrel Accessory,Barrel_01_C,,
282,16,Barrel Accessory,Barrel_01_A_D,,
282,17,Barrel Accessory,Barrel_02_A,,
282,18,Barrel Accessory,Barrel_02_B,,
282,19,Barrel Accessory,Barrel_02_C,,
282,20,Barrel Accessory,Barrel_02_D,,
282,25,Barrel,Barrel_01_Atlinggun,,
282,27,Barrel Accessory,Barrel_01_C,,
282,28,Barrel Accessory,Barrel_01_A_D,,
282,29,Barrel,Barrel_01,加特林,Minigun Barrel
282,30,Barrel,part_barrel_02_flak,,
273,1,Barrel Accessory,Barrel_01_D,,
273,2,Barrel Accessory,Barrel_01_D,,
273,3,Barrel Accessory,Barrel_01_D,,
273,25,Barrel Accessory,Barrel_01_D,,
273,4,Barrel Accessory,Barrel_01_C,,
273,7,Barrel Accessory,Barrel_01_C,,
273,10,Barrel Accessory,Barrel_01_C,,
273,24,Barrel Accessory,Barrel_01_C,,
273,5,Barrel Accessory,Barrel_01_B,,
273,8,Barrel Accessory,Barrel_01_B,,
273,11,Barrel Accessory,Barrel_01_B,,
273,23,Barrel Accessory,Barrel_01_B,,
273,6,Barrel Accessory,Barrel_01_A,,
273,9,Barrel Accessory,Barrel_01_A,,
273,12,Barrel Accessory,Barrel_01_A,,
273,22,Barrel Accessory,Barrel_01_A,,
273,14,Body,Body,/,
273,15,Body Accessory,Body_A,+伤害,Blasting
273,16,Body Accessory,Body_B,+爆炸范围,Covering
273,17,Body Accessory,Body_C,-冷却时间,Eager
273,18,Body Accessory,Body_D,无效果,Itchy
273,20,Barrel,Barrel_01,火箭筒,Rocket Launcher
273,21,Barrel,Barrel_02,蜂巢火箭,Micro Missile Launcher
273,26,Barrel Accessory,Barrel_02_A,,
273,27,Barrel Accessory,Barrel_02_B,,
273,28,Barrel Accessory,Barrel_02_C,,
273,29,Barrel Accessory,Barrel_02_D,,
273,35,Barrel,Barrel_01_Javelin,,
273,40,Barrel,Barrel_02_Ravenfire,,
273,42,Barrel,Barrel_dahlfather,,
273,44,Barrel,part_barrel_loiter,,
275,1,Barrel,Barrel_01_Streamer,,
275,2,Barrel Accessory,Barrel_01_A,,
275,18,Barrel Accessory,Barrel_01_A,,
275,3,Barrel Accessory,Barrel_01_D,,
275,21,Barrel Accessory,Barrel_01_D,,
275,4,Barrel Accessory,Barrel_02_C,,
275,9,Barrel Accessory,Barrel_02_C,,
275,24,Barrel Accessory,Barrel_02_C,,
275,5,Barrel Accessory,Barrel_02_D,,
275,7,Barrel Accessory,Barrel_02_D,,
275,25,Barrel Accessory,Barrel_02_D,,
275,6,Barrel Accessory,Barrel_02_A,,
275,8,Barrel Accessory,Barrel_02_A,,
275,22,Barrel Accessory,Barrel_02_A,,
275,11,Body,Body,/,
275,12,Body Accessory,Body_A,+伤害,Chosen
275,13,Body Accessory,Body_B,+弹容,Bestowed
275,14,Body Accessory,Body_C,-冷却时间,Ritualized
275,15,Body Accessory,Body_D,无效果,Strange
275,16,Barrel,Barrel_01,光束枪,Beam Rifle
275,17,Barrel,Barrel_02,飞盘发射器,Disc Launcher
275,19,Barrel Accessory,Barrel_01_B,,
275,20,Barrel Accessory,Barrel_01_C,,
275,23,Barrel Accessory,Barrel_02_B,,
275,30,Barrel,Barrel_02_DiscJockey,,
275,35,Barrel,Barrel_02_jetset,,
275,37,Barrel,part_barrel_02_draupner,,
289,2,Barrel Accessory,Barrel_02_C,,
289,16,Barrel Accessory,Barrel_02_C,,
289,3,Barrel Accessory,Barrel_02_D,,
289,19,Barrel Accessory,Barrel_02_D,,
289,5,Body,Body,/,
289,6,Body Accessory,Body_A,+弹容,High-Capacity
289,7,Body Accessory,Body_B,+伤害,High-Energy
289,8,Body Accessory,Body_C,--冷却时间,Shunted
289,9,Body Accessory,Body_D,无效果,Abnormal
289,10,Barrel,Barrel_01,能量弹,Energy Bolt
289,11,Barrel,Barrel_02,能量魔球,Energy Orb
289,12,Barrel Accessory,Barrel_01_A,,
289,13,Barrel Accessory,Barrel_01_B,,
289,14,Barrel Accessory,Barrel_01_C,,
289,15,Barrel Accessory,Barrel_01_D,,
289,17,Barrel Accessory,Barrel_02_A,,
289,18,Barrel Accessory,Barrel_02_B,,
289,24,Barrel,Barrel_01_GammaVoid,,
289,26,Barrel,Barrel_02_BottledLightning,,
289,27,Barrel,Barrel_01_ichor,,
289,30,Barrel,part_barrel_02_barrel,,
