Manufacturer ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
282,1,Rarity,Legendary,Legendary,迹象皮肤,Inkling Skin
282,3,Rarity,Legendary,Legendary,金皮肤,Gold Skin
282,21,Rarity,Common,Common,,
282,22,Rarity,Uncommon,Uncommon,,
282,23,Rarity,Rare,Rare,,
282,24,Rarity,Epic,Epic,,
282,26,Rarity,Legendary,Legendary,阿特林机枪皮肤,Atling Gun Skin
282,31,Rarity,Legendary,Legendary,高射炮皮肤,Flak Cannon Skin
273,13,Rarity,Legendary,Legendary,金皮肤,Gold Skin
273,30,Rarity,Common,Common,,
273,31,Rarity,Uncommon,Uncommon,,
273,32,Rarity,Rare,Rare,,
273,33,Rarity,Epic,Epic,,
273,34,Rarity,Legendary,Legendary,风流倜傥皮肤,Sprezzatura Skin
273,36,Rarity,Legendary,Legendary,渡鸦之火皮肤,Ravenfire Skin
273,43,Rarity,Legendary,Legendary,海姆达尔皮肤,Heimdahl Skin
273,45,Rarity,Legendary,Legendary,徘徊剥削者皮肤,Loiter Sploiter Skin
275,10,Rarity,Legendary,Legendary,金皮肤,Gold Skin
275,26,Rarity,Common,Common,,
275,27,Rarity,Uncommon,Uncommon,,
275,28,Rarity,Rare,Rare,,
275,29,Rarity,Epic,Epic,,
275,31,Rarity,Legendary,Legendary,唱片骑师皮肤,Disc Jockey Skin
275,32,Rarity,Legendary,Legendary,直播网红皮肤,Streamer Skin
275,36,Rarity,Legendary,Legendary,环球旅行家皮肤,Jetsetter skin
275,38,Rarity,Legendary,Legendary,德劳普纳皮肤,Draupner Skin
289,1,Rarity,Legendary,Legendary,瓶装闪电皮肤,Bottled Lightning Skin
289,4,Rarity,Legendary,Legendary,金皮肤,Gold Skin
289,20,Rarity,Common,Common,,
289,21,Rarity,Uncommon,Uncommon,,
289,22,Rarity,Rare,Rare,,
289,23,Rarity,Epic,Epic,,
289,25,Rarity,Legendary,Legendary,伽马虚空皮肤,Gamma Void Skin
289,28,Rarity,Legendary,Legendary,灵液皮肤,Ichor Skin
289,29,Rarity,Legendary,Legendary,库珀欺诈者皮肤,Cooper Duper Skin
