Repkit_perk_main_ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
243,1,Firmware,弑神者,God Killer,,
243,2,Firmware,沙包大拳头,Reel Big Fist,,
243,3,Firmware,命脉,Lifeblood,,
243,4,Firmware,空袭,Airstrike,,
243,5,Firmware,大口径,High Caliber,,
243,6,Firmware,装置启动,Gadget Ahoy,,
243,7,Firmware,烘焙师,Baker,,
243,8,Firmware,正在行动,Oscar Mike,,
243,9,Firmware,橡皮筋人,Rubberband Man,,
243,10,Firmware,神枪手,Deadeye,,
243,11,Firmware,动能拳头,Action Fist,,
243,12,Firmware,保命王牌,GooJFC,,
243,13,Firmware,阿特拉斯E.X.,Atlas E.X.,,
243,14,Firmware,阿特拉斯无限量,Atlas Infinum,,
243,15,Firmware,花式射击,Trickshot,,
243,16,Firmware,杰克式改造,Jacked,,
243,17,Firmware,发球入场,Get Throwin',,
243,18,Firmware,加热升温,Heating Up,,
243,19,Firmware,备用子弹,Bullets to Spare,,
243,20,Firmware,大情圣,Daed-dy O',,
243,21,Perk,永恒,Everlasting,修复套件的治疗容量和持续时间增加+20%,+20% Capacity and Duration
243,22,Resistance,元素抗性,Shock Resistance,使用时获得+50%电击抗性，持续8秒,+50% Shock Resistance for 10s
243,23,Resistance,元素抗性,Radiation Resistance,使用时获得+50%辐射抗性，持续8秒,+50% Radiation Resistance for 10s
243,24,Resistance,元素抗性,Fire Resistance,使用时获得+50%燃烧抗性，持续8秒,+50% Fire Resistance for 10s
243,25,Resistance,元素抗性,Cryo Resistance,使用时获得+50%冰冻抗性，持续8秒,+50% Cryo Resistance for 10s
243,26,Resistance,元素抗性,Corrosive Resistance,使用时获得+50%腐蚀抗性，持续8秒,+50% Corrosive Resistance for 10s
243,27,Immunity,元素免疫,Shock Immunity,使用时免疫电击伤害，持续3秒,Shock Immunity for 3s
243,28,Immunity,元素免疫,Radiation Immunity,使用时免疫辐射伤害，持续3秒,Radiation Immunity for 3s
243,29,Immunity,元素免疫,Fire Immunity,使用时免疫燃烧伤害，持续3秒,Fire Immunity for 3s
243,30,Immunity,元素免疫,Cryo Immunity,使用时免疫冰冻伤害，持续3秒,Cryo Immunity for 3s
243,31,Immunity,元素免疫,Corrosive Immunity,使用时免疫腐蚀伤害，持续3秒,Corrosive Immunity for 3s
243,32,Perk,喷溅,Shock Splat,使用时生成电击喷溅,Spawns a Shock Splat
243,33,Perk,喷溅,Radiation Splat,使用时生成辐射喷溅,Spawns a Radiation Splat
243,34,Perk,喷溅,Cryo Splat,使用时生成冰冻喷溅,Spawns a Cryo Splat
243,35,Perk,喷溅,Corrosive Splat,使用时生成腐蚀喷溅,Spawns a Corrosive Splat
243,36,Perk,喷溅,Fire Splat,使用时生成燃烧喷溅,Spawns a Fire Splat
243,37,Perk,星爆,Corrosive Nova,使用时释放腐蚀星爆,Releases a Corrosive Nova
243,38,Perk,星爆,Cryo Nova,使用时释放冰冻星爆,Releases a Cryo Nova
243,39,Perk,星爆,Fire Nova,使用时释放燃烧星爆,Releases a Fire Nova
243,40,Perk,星爆,Radiation Nova,使用时释放辐射星爆,Releases a Radiation Nova
243,41,Perk,星爆,Shock Nova,使用时释放电击星爆,Releases a Shock Nova
243,42,Immunity,元素免疫,Shock,使用时免疫电击伤害，持续3秒,Shock Immunity for 3s
243,43,Immunity,元素免疫,Radiation,使用时免疫辐射伤害，持续3秒,Radiation Immunity for 3s
243,44,Immunity,元素免疫,Fire,使用时免疫燃烧伤害，持续3秒,Fire Immunity for 3s
243,45,Immunity,元素免疫,Cryo,使用时免疫冰冻伤害，持续3秒,Cryo Immunity for 3s
243,46,Immunity,元素免疫,Corrosive,使用时免疫腐蚀伤害，持续3秒,Corrosive Immunity for 3s
243,47,Resistance,元素抗性,Radiation,使用时获得+50%辐射抗性，持续8秒,+50% Radiation Resistance for 10s
243,48,Resistance,元素抗性,Cryo,使用时获得+50%冰冻抗性，持续8秒,+50% Cryo Resistance for 10s
243,49,Resistance,元素抗性,Shock,使用时获得+50%电击抗性，持续8秒,+50% Shock Resistance for 10s
243,50,Resistance,元素抗性,Fire,使用时获得+50%燃烧抗性，持续8秒,+50% Fire Resistance for 10s
243,51,Resistance,元素抗性,Corrosive,使用时获得+50%腐蚀抗性，持续8秒,+50% Corrosive Resistance for 10s
243,52,Perk,医护兵,Medic,使用时，附近友方获得来自修复套件治疗量50%的治疗,Heals nearby allies for 50% of the healing amount
243,54,Perk,超强护盾,Overshield,使用时不进行治疗，而是获得数值等同于修复套件初始治疗量的超强护盾,Overshield of initial heal amount instead of healing
243,56,Perk,生命大爆发,Health Burst,使用时，在8秒后获得一次额外爆发，数值等同于修复套件初始治疗量的50%,Additional burst of 50% of initial value after 8s
243,57,Perk,能量循环,Power Cycle,使用时立即为装备的能量护盾充能,Instantly start recharging Energy Shield
243,58,Perk,吸血,Leech,使用时获得30%吸血，持续8秒,30% Lifesteal for 8s
243,59,Perk,坦克,Tank,使用时受到的伤害减少-50%，持续8秒,-50% Damage Taken for 8s
243,60,Perk,永恒,Everlasting,修复套件的治疗容量和持续时间增加+20%,+20% Capacity and Duration
243,61,Perk,激怒,Enrage,使用时造成的所有伤害提升+30%，受到的所有伤害提升+15%，持续8秒,"+30% Damage Dealt, +15% Damage Taken for 8s"
243,62,Perk,加速器,Accelerator,使用时主动技能冷却速率提升+100%，持续8秒,+100% Action Skill Cooldown Rate for 8s
243,63,Perk,元素适配性,Elemental Affinity,使用时造成的元素伤害提升+25%，持续8秒,+25% Elemental Damage for 8s
243,64,Perk,溅射伤害,Splash Damage,使用时造成的溅射伤害提升+25%，持续8秒,+25% Splash Damage for 8s
243,65,Perk,装填速度,Reload Speed,使用时装填速度提升25%，持续8秒,+25% Reload speed for 8s
