Manufacturer ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
279,1,Legendary Perk,核合成,Nucleosynthesis,当能量护盾破裂或填充时会触发星爆，造成14872伤害,Triggers a Star Burst dealing 14872 Damage when Energy Shield breaks or fills
279,2,Model,/,/,,
279,3,Rarity,Common,Common,,
279,4,Rarity,Uncommon,Uncommon,,
279,5,Rarity,Rare,Rare,,
279,6,Rarity,Epic,Epic,,
279,7,Rarity,Legendary,Legendary,金皮肤,Gold skin
279,8,Legendary Perk,精神错乱,Psychosis,受到伤害时，获得+15%元素抗性和+50%抗性（针对最后所受伤害类型），持续5秒,"When damaged, gain +15% Elemental Resistance and +50% Resistance to the last damage type received for 5s"
279,9,Rarity,Legendary,Legendary,潘多拉纪念品皮肤,Pandoran Memento skin
279,10,Rarity,Legendary,Legendary,超大中杯皮肤,Extra Medium skin
279,11,Legendary Perk,星屑坠落,Moonfall,造成近战伤害时，生成流星星团砸向受伤害的敌人,"When dealing Melee Damage, spawn a Meteor Cluster to fall on the damaged enemy"
279,12,Rarity,Legendary,Legendary,厄尔皮斯之星皮肤,Elpis Star skin
283,1,Rarity,Common,Common,,
283,2,Rarity,Uncommon,Uncommon,,
283,3,Rarity,Rare,Rare,,
283,4,Rarity,Epic,Epic,,
283,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
283,6,Legendary Perk,茶点,Refreshments,击杀时有50%几率生成弹药增强器，并立即补充枪械弹药,"On kill, 50% chance to spawn an Ammo Booster and instantly refill Gun Ammo"
283,7,Rarity,Legendary,Legendary,囤积者皮肤,Hoarder skin
283,8,Legendary Perk,裸拳格斗,Bareknuckle,近战击中时，消耗一个护甲段获得+100%近战伤害。当护甲护盾为0时，获得+50%近战伤害,"On Melee Hit, consume an Armor Segment to gain +100% Melee Damage. When Armor Shield is 0, gain +50% Melee Damage"
283,9,Rarity,Legendary,Legendary,重量级皮肤,Heavyweight skin
283,10,Model,/,/,,
283,11,Legendary Perk,外骨骼,Exoskeleton,护甲段破裂时，获得753超强护盾,"On Armor Segment break, grants 753 Overshield"
283,12,Rarity,Legendary,Legendary,下部护盾金皮肤,Undershield skin
287,1,Rarity,Common,Common,,
287,2,Rarity,Uncommon,Uncommon,,
287,3,Rarity,Rare,Rare,,
287,4,Rarity,Epic,Epic,,
287,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
287,6,Legendary Perk,护盾小子,Shield Boi,最后一个护甲段破裂时生成护盾小子,Spawns a Shield Boi when the last Armor Segment breaks
287,7,Rarity,Legendary,Legendary,首要皮肤,Principal skin
287,8,Rarity,Legendary,Legendary,时间尊者新护盾皮肤,Timekeeper's New skin
287,9,Legendary Perk,比尼努,Bininu,装备后，获得+7436最大生命值，每秒恢复+372生命值，同时受到的伤害降低33%,"While equipped, gain +7436 Max Health, regenerate +372 Health/s, and reduce Damage Taken by 33%"
287,10,Model,/,/,,
287,11,Rarity,Legendary,Legendary,跳房子皮肤,Hopscotch skin
287,12,Legendary Perk,震荡,Shook,当护甲段破裂时，生成一个奇点,Spawns a Singularity when an Armor Segment breaks
287,13,Legendary Perk,姐妹,Sister,"段数破裂时生成杀戮无人机。该无机将与秘藏猎同时开火，复制当前枪械的元素并造成枪械伤害的25%伤害","On Segment break, spawn a Kill Drone that fires alongside the Vault Hunter, mimicing their Gun's Element and deals 25% of the Gun's Damage"
287,14,Rarity,Legendary,Legendary,小妹妹皮肤,Little Sister Skin
293,1,Legendary Perk,玻璃,Glass,受到伤害时，获得一层决心，每有一层决心，所受伤害减少2%，最多叠加25层。能量护盾破裂时将释放星爆，造成7436伤害，每有一层决心，该伤害提升+20%,"When damaged, gain a stack of Determination. Each stack reduces Damage Taken by 2%, max 25 stacks. When Energy Shield breaks, release a Star Burst dealing 7436 Damage, increased by +20% per stack of Determination"
293,2,Legendary Perk,直流电,Direct Current,通过落地猛击切换此效果开关。启用后，会持续消耗护盾并获得+40%加成电击伤害，但受到的伤害会直接穿透护盾,"Toggle via Ground Slam. When active, continuously drains Shield to gain +40% Bonus Shock Damage, but incoming Damage bypasses Shield"
293,3,Rarity,Legendary,Legendary,变形细胞皮肤,Protean Cell skin
293,4,Model,/,/,,
293,5,Rarity,Common,Common,,
293,6,Rarity,Uncommon,Uncommon,,
293,7,Rarity,Rare,Rare,,
293,8,Rarity,Epic,Epic,,
293,9,Rarity,Legendary,Legendary,金皮肤,Gold skin
293,10,Rarity,Legendary,Legendary,灰烬壳皮肤,Cindershelly skin
293,11,Rarity,Legendary,Legendary,收藏家皮肤,Collector skin
