Shield_perk_main_ID,Part_ID,Part_type,Stat,Description
246,1,Firmware,God Killer,
246,2,Firmware,Reel Big Fist,
246,3,Firmware,Lifeblood,
246,4,Firmware,Airstrike,
246,5,Firmware,High Caliber,
246,6,Firmware,Gadget Ahoy,
246,7,Firmware,Baker,
246,8,Firmware,Oscar Mike,
246,9,Firmware,Rubberband Man,
246,10,Firmware,Deadeye,
246,11,Firmware,Action Fist,
246,12,Firmware,GooJFC,
246,13,Firmware,Atlas E.X.,
246,14,Firmware,Atlas Infinum,
246,15,Firmware,Trickshot,
246,16,Firmware,Jacked,
246,17,Firmware,Get Throwin',
246,18,Firmware,Heating Up,
246,19,Firmware,Bullets to Spare,
246,20,Firmware,Daed-dy O',
246,22,Elemental Resistance,Corrosive,15% Resist
246,23,Elemental Resistance,Cryo,15% Resist
246,24,Elemental Resistance,Fire,15% Resist
246,25,Elemental Resistance,Radiation,15% Resist
246,26,Elemental Resistance,Shock,15% Resist
246,27,Perk,Utility,"+20% Gun Handling, +10% Movement Speed when shield is empty"
246,28,Perk,Utility,"+28% Gun Handling, +15% Movement Speed when shield is empty"
246,29,Perk,Turtle,"+40% Shield Capacity, -10% Maximum Health"
246,30,Perk,Turtle,"+65% Shield Capacity, -15% Maximum Health"
246,31,Perk,Sturdy,5% Chance to grant +20% Damage Reduction for 5s when damaging enemies
246,32,Perk,Sturdy,8% Chance to grant +28% Damage Reduction for 5s when damaging enemies
246,33,Perk,Spike,2974 Damage is reflected back to enemies when receiving Melle Damage and Shield is active
246,34,Perk,Spike,4461 Damage is reflected back to enemies when receiving Melle Damage and Shield is active
246,35,Perk,Resistant,+17% Resistance to Elemental Damage when Shield is active
246,36,Perk,Resistant,+22% Resistance to Elemental Damage when Shield is active
246,37,Perk,Reflect,15% Chance to reflect Projectiles when Shield is active
246,38,Perk,Reflect,30% Chance to reflect Projectiles when Shield is active
246,39,Perk,Power Booster,"20% Chance for Power Booster that grants +10% Gun Damage for 5s when damaged"
246,40,Perk,Power Booster,"30% Chance for Power Booster that grants +20% Gun Damage for 5s when damaged"
