Manufacturer & Weapon Type ID,Manufacturer,Weapon Type,Part ID,Part Type,String,Stat
13,Daedalus,Assault Rifle,1,Body,DAD_AR.part_body,"无属性变化，固有部件"
13,Daedalus,Assault Rifle,2,Body Accessory,DAD_AR.part_body_a,-装填时间
13,Daedalus,Assault Rifle,3,Body Accessory,DAD_AR.part_body_b,-装填时间
13,Daedalus,Assault Rifle,4,Body Accessory,DAD_AR.part_body_c,+精准度
13,Daedalus,Assault Rifle,5,Body Accessory,DAD_AR.part_body_d,无可见属性变化
13,Daedalus,Assault Rifle,6,Barrel,DAD_AR.part_barrel_01,"特种科技,571伤害,78%精准度,6.8/s射速"
13,Daedalus,Assault Rifle,7,Barrel,DAD_AR.part_barrel_02,"獠牙,669伤害,84%精准度,5.5/s射速"
13,Daedalus,Assault Rifle,8,Barrel,DAD_AR.part_barrel_unique_om,"正在行动,509伤害,76%精准度,6.8/s射速"
13,Daedalus,Assault Rifle,9,Barrel Accessory,DAD_AR.part_barrel_01_a,+伤害
13,Daedalus,Assault Rifle,10,Barrel Accessory,DAD_AR.part_barrel_01_b,+暴击伤害
13,Daedalus,Assault Rifle,11,Barrel Accessory,DAD_AR.part_barrel_01_c,+精准度
13,Daedalus,Assault Rifle,12,Barrel Accessory,DAD_AR.part_barrel_01_d,+精准度
13,Daedalus,Assault Rifle,13,Barrel Accessory,DAD_AR.part_barrel_02_a,+伤害
13,Daedalus,Assault Rifle,14,Barrel Accessory,DAD_AR.part_barrel_02_b,+精准度
13,Daedalus,Assault Rifle,15,Barrel Accessory,DAD_AR.part_barrel_02_c,+射速
13,Daedalus,Assault Rifle,16,Barrel Accessory,DAD_AR.part_barrel_02_d,+射速
13,Daedalus,Assault Rifle,17,Manufacturer Part,DAD_AR.part_barrel_licensed_jak,+暴击伤害
13,Daedalus,Assault Rifle,18,Manufacturer Part,DAD_AR.part_barrel_licensed_ted,"泰迪尔装填,无可见属性变化"
13,Daedalus,Assault Rifle,20,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_shooting,"泰迪尔射击,无可见属性变化"
13,Daedalus,Assault Rifle,21,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_mirv,"泰迪尔分裂式,无可见属性变化"
13,Daedalus,Assault Rifle,22,Manufacturer Part,DAD_AR.part_barrel_licensed_ted_combo,"泰迪尔组合,无可见属性变化"
13,Daedalus,Assault Rifle,23,Manufacturer Part,DAD_AR.part_barrel_licensed_hyp,"亥伯龙护盾可见附件,无可见属性变化"
13,Daedalus,Assault Rifle,24,Magazine,DAD_AR.part_mag_01,"2.1s装填时间,28弹容"
13,Daedalus,Assault Rifle,25,Magazine,DAD_AR.part_mag_02,"2.6s装填时间,36弹容"
13,Daedalus,Assault Rifle,26,Magazine,DAD_AR.part_mag_03_tor,"2.0s装填时间,+伤害,-射速,20弹容,托格弹匣"
13,Daedalus,Assault Rifle,27,Magazine,DAD_AR.part_mag_04_cov,"4.3s装填时间,+伤害,-精准度,50弹容过热,密藏之子弹匣"
13,Daedalus,Assault Rifle,28,Magazine,DAD_AR.part_mag_05_borg,"3.0s装填时间,+伤害,+精准度,+射速,44弹容,开颅者弹匣"
13,Daedalus,Assault Rifle,29,Manufacturer Part,DAD_AR.part_mag_torgue_normal,托格冲击弹匣
13,Daedalus,Assault Rifle,30,Stat Modifier,DAD_AR.part_mag_ted_thrown_01,2.0s装填时间
13,Daedalus,Assault Rifle,31,Stat Modifier,DAD_AR.part_mag_ted_thrown_02,2.0s装填时间
13,Daedalus,Assault Rifle,32,Manufacturer Part,DAD_AR.part_mag_torgue_sticky,托格粘性弹匣
13,Daedalus,Assault Rifle,33,Stat Modifier,DAD_AR.part_mag_ted_thrown_03_tor,2.0s装填时间
13,Daedalus,Assault Rifle,34,Stat Modifier,DAD_AR.part_mag_ted_thrown_04_cov,3.0s装填时间
13,Daedalus,Assault Rifle,35,Stat Modifier,DAD_AR.part_mag_ted_thrown_05_bor,3.0s装填时间
13,Daedalus,Assault Rifle,36,Body,DAD_AR.part_body_bolt,"无属性变化，固有部件"
13,Daedalus,Assault Rifle,37,Scope,DAD_AR.part_scope_02_lens_02,瞄准镜 ++++放大倍率
13,Daedalus,Assault Rifle,38,Scope,DAD_AR.part_scope_02_lens_01,瞄准镜 +++放大倍率
13,Daedalus,Assault Rifle,39,Scope,DAD_AR.part_scope_01_lens_02,瞄准镜 ++放大倍率
13,Daedalus,Assault Rifle,40,Scope,DAD_AR.part_scope_01_lens_01,瞄准镜 +放大倍率
13,Daedalus,Assault Rifle,41,Scope,DAD_AR.part_scope_ironsight,机瞄
13,Daedalus,Assault Rifle,42,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_a,+射速
13,Daedalus,Assault Rifle,43,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_b,+伤害
13,Daedalus,Assault Rifle,44,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_a,+射速
13,Daedalus,Assault Rifle,45,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_b,+伤害
13,Daedalus,Assault Rifle,46,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_a,无可见属性变化
13,Daedalus,Assault Rifle,47,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_b,+暴击伤害
13,Daedalus,Assault Rifle,48,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_a,无可见属性变化
13,Daedalus,Assault Rifle,49,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_b,+暴击伤害
13,Daedalus,Assault Rifle,50,Grip,DAD_AR.part_grip_05c_ted_jav,"泰迪尔装填修改组件:标枪,无可见属性变化"
13,Daedalus,Assault Rifle,51,Grip,DAD_AR.part_grip_05a_ted_legs,"泰迪尔装填修改组件:腿部,无可见属性变化"
13,Daedalus,Assault Rifle,52,Grip,DAD_AR.part_grip_05b_ted_homing,"泰迪尔装填修改组件:追踪,无可见属性变化"
13,Daedalus,Assault Rifle,53,Grip,DAD_AR.part_grip_01,+伤害
13,Daedalus,Assault Rifle,54,Grip,DAD_AR.part_grip_02,+射速
13,Daedalus,Assault Rifle,55,Grip,DAD_AR.part_grip_03,-装填时间
13,Daedalus,Assault Rifle,56,Grip,DAD_AR.part_grip_04_hyp,"亥伯龙握把,-精准度,持续射击提升精准度"
13,Daedalus,Assault Rifle,57,Barrel,DAD_AR.part_barrel_02_lumberjack,"血腥伐木工,1227伤害,82%精准度,4.0/s射速,2/每发"
13,Daedalus,Assault Rifle,58,Underbarrel,DAD_AR.part_underbarrel_04_atlas_ball,阿特拉斯追踪手雷
13,Daedalus,Assault Rifle,59,Underbarrel,DAD_AR.part_underbarrel_04_atlas,阿特拉斯追踪飞镖
13,Daedalus,Assault Rifle,60,Underbarrel,DAD_AR.part_underbarrel_06_malswitch,"马里旺元素切换下挂"
13,Daedalus,Assault Rifle,61,Underbarrel,DAD_AR.part_underbarrel_02_shotgun,附属开火-霰弹枪
13,Daedalus,Assault Rifle,62,Underbarrel,DAD_AR.part_underbarrel_03_microrocket,附属开火-微型火箭发射架
13,Daedalus,Assault Rifle,63,Underbarrel,DAD_AR.part_underbarrel_01_grenade,附属开火-榴弹发射器
13,Daedalus,Assault Rifle,64,Foregrip,DAD_AR.part_foregrip_01,+伤害
13,Daedalus,Assault Rifle,65,Foregrip,DAD_AR.part_foregrip_02,+射速
13,Daedalus,Assault Rifle,66,Foregrip,DAD_AR.part_foregrip_03,+精准度
13,Daedalus,Assault Rifle,67,Underbarrel,DAD_AR.part_underbarrel_01_grenade_om,正在行动下挂-燃烧手雷
13,Daedalus,Assault Rifle,68,Manufacturer Part,DAD_AR.part_body_mag_ps,代达洛斯手枪弹药
13,Daedalus,Assault Rifle,69,Manufacturer Part,DAD_AR.part_body_mag_smg,代达洛斯冲锋枪弹药
13,Daedalus,Assault Rifle,70,Manufacturer Part,DAD_AR.part_body_mag_sg,代达洛斯霰弹枪弹药
13,Daedalus,Assault Rifle,71,Manufacturer Part,DAD_AR.part_body_mag_sr,代达洛斯狙击枪弹药
13,Daedalus,Assault Rifle,75,Underbarrel,DAD_AR.part_underbarrel_om_spacelaser,正在行动下挂-太空激光
13,Daedalus,Assault Rifle,76,Underbarrel,DAD_AR.part_underbarrel_06_star_helix,恒星螺旋下挂
13,Daedalus,Assault Rifle,77,Barrel,DAD_AR.part_barrel_02_star_helix,"恒星螺旋,669x3伤害,78%精准度,4.7/s射速"
13,Daedalus,Assault Rifle,78,Manufacturer Part,DAD_AR.part_shield_default,亥伯龙护盾
13,Daedalus,Assault Rifle,79,Manufacturer Part,DAD_AR.part_shield_ricochet,亥伯龙跳弹护盾
13,Daedalus,Assault Rifle,80,Manufacturer Part,DAD_AR.part_shield_ammo,亥伯龙吸收护盾
13,Daedalus,Assault Rifle,81,Manufacturer Part,DAD_AR.part_shield_amp,亥伯龙增强护盾
2,Daedalus,Pistol,1,Barrel,DAD_PS.part_barrel_01_zipgun,"拉链,692伤害,75%精准度,6.2/s射速"
2,Daedalus,Pistol,2,Body,DAD_PS.part_body,"无属性变化，固有部件"
2,Daedalus,Pistol,3,Body Accessory,DAD_PS.part_body_a,-装填时间
2,Daedalus,Pistol,4,Body Accessory,DAD_PS.part_body_b,-装填时间
2,Daedalus,Pistol,5,Body Accessory,DAD_PS.part_body_c,+精准度
2,Daedalus,Pistol,6,Body Accessory,DAD_PS.part_body_d,无可见属性变化
2,Daedalus,Pistol,7,Barrel,DAD_PS.part_barrel_01,"S23,692伤害,75%精准度,6.0/s射速"
