Manufacturer & Weapon Type ID,Manufacturer,Weapon Type,Part ID,Part Type,String,Name
13,Daedalus,Assault Rifle,1,Body,DAD_AR.part_body,
13,Daedalus,Assault Rifle,2,Body Accessory,DAD_AR.part_body_a,
13,Daedalus,Assault Rifle,3,Body Accessory,DAD_AR.part_body_b,
13,Daedalus,Assault Rifle,4,Body Accessory,DAD_AR.part_body_c,
13,Daedalus,Assault Rifle,5,Body Accessory,DAD_AR.part_body_d,
13,Daedalus,Assault Rifle,6,Barrel,DAD_AR.part_barrel_01,Spec-Tec
13,Daedalus,Assault Rifle,7,Barrel,DAD_AR.part_barrel_02,F.A.N.G.
13,Daedalus,Assault Rifle,8,Barrel,DAD_AR.part_barrel_unique_om,Oscar Mike
13,Daedalus,Assault Rifle,9,Barrel Accessory,DAD_AR.part_barrel_01_a,
13,Daedalus,Assault Rifle,10,Barrel Accessory,DAD_AR.part_barrel_01_b,
13,Daedalus,Assault Rifle,11,Barrel Accessory,DAD_AR.part_barrel_01_c,
13,Daedalus,Assault Rifle,12,Barrel Accessory,DAD_AR.part_barrel_01_d,
13,Daedalus,Assault Rifle,13,Barrel Accessory,DAD_AR.part_barrel_02_a,
13,Daedalus,Assault Rifle,14,Barrel Accessory,DAD_AR.part_barrel_02_b,
13,Daedalus,Assault Rifle,15,Barrel Accessory,DAD_AR.part_barrel_02_c,
13,Daedalus,Assault Rifle,16,Barrel Accessory,DAD_AR.part_barrel_02_d,
13,Daedalus,Assault Rifle,17,Manufacturer Part,DAD_AR.part_barrel_licensed_jak,
13,Daedalus,Assault Rifle,18,Tediore Payload,DAD_AR.part_barrel_licensed_ted,Tediore Throw
13,Daedalus,Assault Rifle,20,Tediore Payload,DAD_AR.part_barrel_licensed_ted_shooting,Tediore Shooting
13,Daedalus,Assault Rifle,21,Tediore Payload,DAD_AR.part_barrel_licensed_ted_mirv,Tediore MIRV
13,Daedalus,Assault Rifle,22,Tediore Payload,DAD_AR.part_barrel_licensed_ted_combo,Tediore Combo
13,Daedalus,Assault Rifle,23,Manufacturer Part,DAD_AR.part_barrel_licensed_hyp,
13,Daedalus,Assault Rifle,24,Magazine,DAD_AR.part_mag_01,
13,Daedalus,Assault Rifle,25,Magazine,DAD_AR.part_mag_02,
13,Daedalus,Assault Rifle,26,Magazine,DAD_AR.part_mag_03_tor,
13,Daedalus,Assault Rifle,27,Magazine,DAD_AR.part_mag_04_cov,
13,Daedalus,Assault Rifle,28,Magazine,DAD_AR.part_mag_05_borg,
13,Daedalus,Assault Rifle,29,Manufacturer Part,DAD_AR.part_mag_torgue_normal,
13,Daedalus,Assault Rifle,30,Tediore Throw Reload,DAD_AR.part_mag_ted_thrown_01,
13,Daedalus,Assault Rifle,31,Tediore Throw Reload,DAD_AR.part_mag_ted_thrown_02,
13,Daedalus,Assault Rifle,32,Manufacturer Part,DAD_AR.part_mag_torgue_sticky,
13,Daedalus,Assault Rifle,33,Tediore Throw Reload,DAD_AR.part_mag_ted_thrown_03_tor,
13,Daedalus,Assault Rifle,34,Tediore Throw Reload,DAD_AR.part_mag_ted_thrown_04_cov,
13,Daedalus,Assault Rifle,35,Tediore Throw Reload,DAD_AR.part_mag_ted_thrown_05_bor,
13,Daedalus,Assault Rifle,36,Body,DAD_AR.part_body_bolt,
13,Daedalus,Assault Rifle,37,Scope,DAD_AR.part_scope_02_lens_02,
13,Daedalus,Assault Rifle,38,Scope,DAD_AR.part_scope_02_lens_01,
13,Daedalus,Assault Rifle,39,Scope,DAD_AR.part_scope_01_lens_02,
13,Daedalus,Assault Rifle,40,Scope,DAD_AR.part_scope_01_lens_01,
13,Daedalus,Assault Rifle,41,Scope,DAD_AR.part_scope_ironsight,
13,Daedalus,Assault Rifle,42,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_a,
13,Daedalus,Assault Rifle,43,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_b,
13,Daedalus,Assault Rifle,44,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_a,
13,Daedalus,Assault Rifle,45,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_b,
13,Daedalus,Assault Rifle,46,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_a,
13,Daedalus,Assault Rifle,47,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_b,
13,Daedalus,Assault Rifle,48,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_a,
13,Daedalus,Assault Rifle,49,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_b,
13,Daedalus,Assault Rifle,50,Grip,DAD_AR.part_grip_05c_ted_jav,
13,Daedalus,Assault Rifle,51,Grip,DAD_AR.part_grip_05a_ted_legs,
13,Daedalus,Assault Rifle,52,Grip,DAD_AR.part_grip_05b_ted_homing,
13,Daedalus,Assault Rifle,53,Grip,DAD_AR.part_grip_01,
13,Daedalus,Assault Rifle,54,Grip,DAD_AR.part_grip_02,
13,Daedalus,Assault Rifle,55,Grip,DAD_AR.part_grip_03,
13,Daedalus,Assault Rifle,56,Grip,DAD_AR.part_grip_04_hyp,
13,Daedalus,Assault Rifle,57,Barrel,DAD_AR.part_barrel_02_lumberjack,Bloody Lumberjack
13,Daedalus,Assault Rifle,58,Underbarrel,DAD_AR.part_underbarrel_04_atlas_ball,
13,Daedalus,Assault Rifle,59,Underbarrel,DAD_AR.part_underbarrel_04_atlas,
13,Daedalus,Assault Rifle,60,Underbarrel,DAD_AR.part_underbarrel_06_malswitch,
13,Daedalus,Assault Rifle,61,Underbarrel,DAD_AR.part_underbarrel_02_shotgun,
13,Daedalus,Assault Rifle,62,Underbarrel,DAD_AR.part_underbarrel_03_microrocket,
13,Daedalus,Assault Rifle,63,Underbarrel,DAD_AR.part_underbarrel_01_grenade,
13,Daedalus,Assault Rifle,64,Foregrip,DAD_AR.part_foregrip_01,
13,Daedalus,Assault Rifle,65,Foregrip,DAD_AR.part_foregrip_02,
13,Daedalus,Assault Rifle,66,Foregrip,DAD_AR.part_foregrip_03,
13,Daedalus,Assault Rifle,67,Underbarrel,DAD_AR.part_underbarrel_01_grenade_om,
13,Daedalus,Assault Rifle,68,Manufacturer Part,DAD_AR.part_body_mag_ps,
13,Daedalus,Assault Rifle,69,Manufacturer Part,DAD_AR.part_body_mag_smg,
13,Daedalus,Assault Rifle,70,Manufacturer Part,DAD_AR.part_body_mag_sg,
13,Daedalus,Assault Rifle,71,Manufacturer Part,DAD_AR.part_body_mag_sr,
13,Daedalus,Assault Rifle,75,Underbarrel,DAD_AR.part_underbarrel_om_spacelaser,
13,Daedalus,Assault Rifle,76,Underbarrel,DAD_AR.part_underbarrel_06_star_helix,Star Helix
13,Daedalus,Assault Rifle,77,Barrel,DAD_AR.part_barrel_02_star_helix,Star Helix
13,Daedalus,Assault Rifle,78,Manufacturer Part,DAD_AR.part_shield_default,
13,Daedalus,Assault Rifle,79,Manufacturer Part,DAD_AR.part_shield_ricochet,
13,Daedalus,Assault Rifle,80,Manufacturer Part,DAD_AR.part_shield_ammo,
13,Daedalus,Assault Rifle,81,Manufacturer Part,DAD_AR.part_shield_amp,
13,Daedalus,Assault Rifle,82,Barrel,DAD_AR.part_barrel_01_Mercredi,Mercredi
13,Daedalus,Assault Rifle,89,Underbarrel,DAD_AR.part_underbarrel_04_atlas_ball_Mercredi,
13,Daedalus,Assault Rifle,90,Underbarrel,DAD_AR.part_underbarrel_04_atlas_Mercredi,
13,Daedalus,Assault Rifle,86,Barrel,DAD_AR.part_barrel_02_harddark,Hard Dark
2,Daedalus,Pistol,1,Barrel,DAD_PS.part_barrel_01_zipgun,Zipper
2,Daedalus,Pistol,2,Body,DAD_PS.part_body,
2,Daedalus,Pistol,3,Body Accessory,DAD_PS.part_body_a,
