Elemental_ID,Part_ID,Stat,Stat_ZH
1,5,switch between Shock and Radiation Elements,元素切换-电击&辐射
1,6,switch between Shock and Incendiary Elements,元素切换-电击&燃烧
1,7,switch between Shock and Cryo Elements,元素切换-电击&冰冻
1,8,switch between Shock and Corrosive Elements,元素切换-电击&腐蚀
1,9,switch between Radiation and Shock Elements,元素切换-辐射&电击
1,10,Corrosive,腐蚀
1,11,Cryo,冰冻
1,12,Fire,燃烧
1,13,Radiation,辐射
1,14,Shock,电击
1,15,switch between Radiation and Incendiary Elements,元素切换-辐射&燃烧
1,16,switch between Radiation and Cryo Elements,元素切换-辐射&冰冻
1,17,switch between Radiation and CorrosiveElements,元素切换-辐射&腐蚀
1,18,switch between Incendiary and Radiation Elements,元素切换-燃烧&辐射
1,19,switch between Incendiary and Cryo Elements,元素切换-燃烧&冰冻
1,20,switch between Incendiary and CorrosiveElements,元素切换-燃烧&腐蚀
1,21,switch betweenCryo and Shock Elements,元素切换-冰冻&电击
1,22,switch between Cryo and RadiationElements,元素切换-冰冻&辐射
1,23,switch between Cryo and Incendiary Elements,元素切换-冰冻&燃烧
1,24,switch between Cryo and Corrosive Elements,元素切换-冰冻&腐蚀
1,25,switch between Corrosive and Shock Elements,元素切换-腐蚀&电击
1,26,switch between Corrosive and Radiation Elements,元素切换-腐蚀&辐射
1,27,switch between Corrosive and Incendiary Elements,元素切换-腐蚀&燃烧
1,28,switch between Corrosive and Cryo Elements,元素切换-腐蚀&冰冻
1,29,Maliwan Underbarrel-switch between Shock and Radiation Elements,元素切换下挂-电击&辐射
1,30,Maliwan Underbarrel-switch between Incendiary and Radiation Elements,元素切换下挂-燃烧&辐射
1,31,Maliwan Underbarrel-switch between Cryo and Radiation Elements,元素切换下挂-冰冻&辐射
1,32,Maliwan Underbarrel-switch between Corrosive and Radiation Elements,元素切换下挂-腐蚀&辐射
1,33,Maliwan Underbarrel-switch between Radiation and Corrosive Elements,元素切换下挂-辐射&腐蚀
1,34,Maliwan Underbarrel-switch between Shock and Corrosive Elements,元素切换下挂-电击&腐蚀
1,35,Maliwan Underbarrel-switch between Incendiary and Corrosive Elements,元素切换下挂-燃烧&腐蚀
1,36,Maliwan Underbarrel-switch between Cryo and Corrosive Elements,元素切换下挂-冰冻&腐蚀
1,37,Maliwan Underbarrel-switch between Radiation and Cryo Elements,元素切换下挂-辐射&冰冻
1,38,Maliwan Underbarrel-switch between Shock and Cryo Elements,元素切换下挂-电击&冰冻
1,39,Maliwan Underbarrel-switch between Incendiary and Cryo Elements,元素切换下挂-燃烧&冰冻
1,40,Maliwan Underbarrel-switch between Corrosive and Cryo Elements,元素切换下挂-腐蚀&冰冻
1,41,Maliwan Underbarrel-switch between Radiation and Incendiary Elements,元素切换下挂-辐射&燃烧
1,42,Maliwan Underbarrel-switch between Cryo and Incendiary Elements,元素切换下挂-冰冻&燃烧
1,43,Maliwan Underbarrel-switch between Shock and Incendiary Elements,元素切换下挂-电击&燃烧
1,44,Maliwan Underbarrel-switch between Corrosive and Incendiary Elements,元素切换下挂-腐蚀&燃烧
1,45,Maliwan Underbarrel-switch between Radiation and Shock Elements,元素切换下挂-辐射&电击
1,46,Maliwan Underbarrel-switch between Cryo and Shock Elements,元素切换下挂-冰冻&电击
1,47,Maliwan Underbarrel-switch between Corrosive and Shock Elements,元素切换下挂-腐蚀&电击
1,48,switch between Incendiary and Shock Elements,元素切换-燃烧&电击
1,49,Maliwan Underbarrel-switch between Incendiary and Shock Elements,元素切换下挂-燃烧&电击
1,51,"Pearl Stat:Damage ×1.225, Spread ×1.075, Reload Time ×1.06, Fire Rate ×0.943","珠光属性:伤害 ×1.225, 散布 ×1.075, 装填时间 ×1.06, 射速 ×0.943"
1,52,"Pearl Stat:Damage ×0.925, Reload Time ×0.82, Fire Rate ×0.943, Magazine ×0.85","珠光属性:伤害 ×0.925, 装填时间 ×0.82, 射速 ×0.943, 弹容 ×0.85"
1,53,"Pearl Stat:Damage ×0.925, Spread ×1.075, Reload Time ×1.06, Fire Rate ×1.173","珠光属性:伤害 ×0.925, 散布 ×1.075, 装填时间 ×1.06, 射速 ×1.173"
1,54,"Pearl Stat:Damage ×0.925, Spread ×0.775, Reload Time ×1.06, Fire Rate ×0.943","珠光属性:伤害 ×0.925, 散布 ×0.775, 装填时间 ×1.06, 射速 ×0.943"
1,55,Pearl Elements:Kinetic Override,珠光元素:动能覆盖
1,56,Pearl Elements:Shock Override,珠光元素:电击覆盖
1,57,Pearl Elements:Radiation Override,珠光元素:辐射覆盖
1,58,Pearl Elements:Corrosive Override,珠光元素:腐蚀覆盖
1,59,Pearl Elements:Cryo Override,珠光元素:冰冻覆盖
1,60,Pearl Elements:Incendiary Override,珠光元素:燃烧覆盖
