Skin_ID,Stat,Stat_EN
1,黄金之神光幻,Golden God Phosphen
2,血腥大师光幻,Goremaster Phosphen
3,地狱火光幻,Hellfire Phosphen
4,死马王子光幻,Prince Harming Phosphen
5,偏离光幻,Stray Phosphen
6,闪人光幻,Vamoose Phosphen
7,血腥伐木工光幻,Bloody Lumberjack Phosphen
8,正在行动光幻,Oscar Mike Phosphen
9,恒星螺旋光幻,Star Helix Phosphen
10,测距仪光幻,Rangefinder Phosphen
11,拉链光幻,Zipper Phosphen
12,生化光幻,Bod Phosphen
13,艾西·梅光幻,Acey May Phosphen
14,暗兽光幻,Darkbeast Phosphen
15,午夜之反抗光幻,Midnight Defiance Phosphen
16,Loarmaster光幻,Loarmaster Phosphen
17,疯小子卢迪光幻,Luty Madlad Phosphen
18,雌雄大盗光幻,Bonnie and Clyde Phosphen
19,罗恩的冲锋光幻,Rowan's Charge Phosphen
20,汇聚光幻,Convergence Phosphen
21,国王的策略光幻,King's Gambit Phosphen
22,幻影火焰光幻,Phantom Flame Phosphen
23,圣萨巴鸣鸟光幻,San Saba Songbird Phosphen
24,第七感光幻,Seventh Sense Phosphen
25,地狱行者光幻,Hellwalker Phosphen
26,彩虹呕吐物光幻,Rainbow Vomit Phosphen
27,强力重击手光幻,Hot Slugger Phosphen
28,尊者波动光幻,T.K's Wave Phosphen
29,博斯特尔弩炮光幻,Borstel Ballista Phosphen
30,树蛇光幻,Boomslang Phosphen
31,卡车光幻,Truck Phosphen
32,万花爆炸光幻,Kaleidosplode Phosphen
33,踢球者光幻,Kickballer Phosphen
34,甜蜜拥抱光幻,Sweet Embrace Phosphen
35,遗弃之混沌光幻,Forsaken Chaos Phosphen
36,我的天呐光幻,Ohm I Got Phosphen
37,等离子线圈光幻,Plasma Coil Phosphen
38,亚瑟的崛起光幻,Asher's Rise Phosphen
39,复杂根须光幻,Complex Root Phosphen
40,片川的复仇光幻,Katagawa's Revenge Phosphen
41,G.M.R.光幻,G.M.R. Phosphen
42,门将光幻,Goalkeeper Phosphen
43,霸凌光幻,Bully Phosphen
44,吵闹蟋蟀光幻,Noisy Cricket Phosphen
45,幸运四叶草光幻,Lucky Clover Phosphen
46,鱼眼光幻,Fisheye Phosphen
47,对称光幻,Symmetry Phosphen
48,查克光幻,Chuck Phosphen
49,焦点分散光幻,Divided Focus Phosphen
50,预算之神光幻,Budget Deity Phosphen
51,红宝石的触碰光幻,Ruby's Grasp Phosphen
52,余兴节目光幻,Sideshow Phosphen
53,无政府主义光幻,Anarchy Phosphen
54,哈士奇好友光幻,Husky Friend Phosphen
55,熊熊虫光幻,Bugbear Phosphen
56,冷屁股光幻,Cold Shoulder Phosphen
57,土豆投掷者IV光幻,Potato Thrower IV Phosphen
58,女王后宫光幻,Queen's Rest Phosphen
59,蟑螂光幻,Roach Phosphen
60,铅气球光幻,Lead Balloon Phosphen
61,钢铁后卫光幻,Linebacker Phosphen
62,伊耿的梦想光幻,Aegon's Dream Phosphen
63,卢西恩的侧攻光幻,Lucian's Flank Phosphen
64,旺德发光幻,Whiskey Foxtrot Phosphen
65,超杀连击光幻,Wombo Combo Phosphen
66,伯特的蜜蜂光幻,Birt's Bees Phosphen
67,考森光幻,Kaoson Phosphen
68,猛攻光幻,Onslaught Phosphen
69,芬妮迪XXX-L光幻,Finnity XXX-L Phosphen
70,权宜之计光幻,Stop Gap Phosphen
71,扫射大灾变,Ratatataclysm
72,糖衣炮弹,Sugar Coated
73,火鹰之怒,Firehawk's Fury
74,危险津贴,Hazard Pay
75,崩坏教团,Broken Order
76,Gearbox®装扮,Gearbox® Gear
77,笑面虎,Smiley
78,怪人,Werido
79,永恒捍卫者,Eternal Defender
80,溅射伤害,Splash Damage
81,掠食之鸟,Bird of Prey
82,浸泡,Soused
83,自我切除,Self Excision
84,高层建筑,Highrise
85,源泉满载,Wellspring-Loaded
86,吞噬者,Devourer
87,系统,The System
88,面相未来,Future Proof
89,永远疯狂,Frenzy Forever
90,余兴派对,Afterparty
91,"站住，公民","Halt, Citizen"
92,熔毁,Meltdown
93,极高冲击,High Impact
94,顺纹处理,With the Grain
95,红色野兽,Bestia Rossa
96,像素完美,Pixel Perfect
97,指令链,Chain of Command
98,光泽度,Gloss
99,呜呜呜!,Awoooooo!
100,满洒,Sprinked
101,狱友,Prison Buddy
102,永远不说DIY,Never Say DlY
103,游戏机器人,Game Bot
104,可爱小猫委员会,Itty Bitty Kitty Committee
105,载具射击游戏,Carcade Shooter
106,弗兰冻酸奶,Fran's Frogurt
107,如此绘制,Drawn This Way
108,海岸循环,Coast to Coast
109,枪就是熔岩,The Gun is Lava
110,太阳耀斑,Solar Flair
111,Blueskin（内部/调试）,Blueskin (Internal/Debug)
112,Test（内部/调试）,Test (Internal/Debug)
"cosmetics_weapon_mat40_halloween",魅术,Hex Appeal
"cosmetics_weapon_mat41_starrynight","静之战，圣之战","Silent Fight, Holy Fight"
"cosmetics_weapon_mat42_uglyxmassweater",礼轻情意重,It's The Thought That Counts
"cosmetics_weapon_mat43_snowfall",宝贝你太高冷了,Baby You're Cold Inside
"cosmetics_weapon_mat44_giftwrap",这可不是普通的袋子,So Much More Than A Bag
"cosmetics_weapon_mat45_gingerbread",吃掉我,Eat Me
"cosmetics_weapon_mat46_mechyeah",恭喜啦！,Congratulations!
"cosmetics_weapon_mat47_assault",装备？！,...Gear?!
"cosmetics_weapon_mat48_boltron",电压猎人,Volt Hunter
"cosmetics_weapon_mat49_furboy",猛兽模式,Beast Mode
"cosmetics_weapon_mat50_spicyiguana",怪物杀手,Kaiju Killa
"cosmetics_weapon_mat51_gore",喂食之手,Hand that Feeds
"cosmetics_weapon_mat52_ghostly",不满,Discontent
"cosmetics_weapon_mat53_occult",随意开火,Shoot What Thou Wilt
"cosmetics_weapon_mat54_shipwreck",虚假神明,Stock and Stone
"cosmetics_weapon_mat55_trappedexperiment",极乐销魂,Rapturous
"cosmetics_weapon_mat56_deepocean",波形,Waveform
"cosmetics_weapon_mat57_unstablereactor",火星法则,Martian Law
"cosmetics_weapon_mat58_kairosvice",点波交错,Dot Wav
"cosmetics_weapon_mat59_rollerrink",溜冰场,Roller Rink
"cosmetics_weapon_mat60_nightcall",夜间电话,Night Call
"cosmetics_weapon_mat61_arcvector",日落矢量,Sunset Vector
"cosmetics_weapon_mat62_tracerbullet",追踪子弹,Tracer Bullet
"cosmetics_weapon_shiny_arctic",正反切光幻,ARC-TAN Phosphen
"cosmetics_weapon_shiny_bubbles",泡泡光幻,Bubbles Phosphen
"cosmetics_weapon_shiny_demo",一触即发光幻,Hair-Trigger Phosphen 
"cosmetics_weapon_shiny_doeshot",一命呼呼光幻,Doeshot Phosphen
"cosmetics_weapon_shiny_fleabag",跳蚤袋光幻,Fleabag Phosphen
"cosmetics_weapon_shiny_laserdisc",激光飞盘光幻,Laser Disker Phosphen
"cosmetics_weapon_shiny_mercredi",星期三光幻,Mercredi Phosphen
"cosmetics_weapon_shiny_mercury",水银好奇者光幻,Mercurious Phosphen
"cosmetics_weapon_shiny_roulette",轮盘赌光幻,Roulette Phosphen
"cosmetics_weapon_shiny_shalashaska",沙拉沙斯卡光幻,Shalashaska Phosphen
"cosmetics_weapon_shiny_songbird",折翼光幻,Broken Wings Phosphen
"cosmetics_weapon_shiny_tankbuster",反坦克炮光幻,Tankbuster Phosphen
"cosmetics_weapon_shiny_jailbroken",越狱加特林光幻,Jail-Broken Gatling Phosphen
"cosmetics_weapon_shiny_lockjaw",锁喉光幻,Lockjaw Phosphen
"cosmetics_weapon_shiny_locust",寄生体光幻,Parasite Phosphen
"cosmetics_weapon_shiny_shammy",诈爆轰轰光幻,Shammy Kablammy Phosphen
"cosmetics_weapon_shiny_breadth",承力点光幻,Hardpoint Phosphen
"cosmetics_weapon_shiny_brickhouse",砖屋光幻,Brickhouse Phosphen
"cosmetics_weapon_shiny_cannonbrawl",天鹅之歌光幻,Swan Song Phosphen
"cosmetics_weapon_shiny_cormano",科尔马诺光幻,Cormano Phosphen
"cosmetics_weapon_shiny_crazedearl",疯狂厄尔光幻,Crazed Earl Phosphen
"cosmetics_weapon_shiny_discybusiness",盘子生意光幻,Discy Business Phosphen
"cosmetics_weapon_shiny_falke",猎鹰光幻,Falke Phosphen
